REFERENCE: tag,REFERENCE: doi,FORMULA,Internal Reference #,Original DOI,PROPERTY: Type of phases,PROPERTY: Single/Multiphase,PROPERTY: synthesis method,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: comment,
J2,10.1016/j.scriptamat.2018.08.048,Al0.3CoCrFeNi,,,FCC + B2 + Sigma,M,CR + A,0.71 $\pm$ 0.35,,,T,25,900,1074,25,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15,,,FCC + BCC,M,AC,75,,,C,25,219,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al2,,,FCC + BCC,M,AC,,,,C,25,354,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al6,,,FCC + BCC,M,AC,,,,C,25,550,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al10,,,B2 + BCC,M,AC,175,,,C,25,994,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al14,,,B2 + BCC,M,AC,175,,,C,25,942,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15,,,FCC + BCC,M,AC,,,,C,400,132,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al2,,,FCC + BCC,M,AC,,,,C,400,260,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al6,,,FCC + BCC,M,AC,,,,C,400,469,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al10,,,B2 + BCC,M,AC,,,,C,400,943,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al14,,,B2 + BCC,M,AC,,,,C,400,833,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15,,,FCC + BCC,M,AC,,,,C,600,115,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al2,,,FCC + BCC,M,AC,,,,C,600,155,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al6,,,FCC + BCC,M,AC,,,,C,600,272,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al10,,,B2 + BCC,M,AC,,,,C,600,359,,,,,,,,,
J3,10.1016/j.jallcom.2018.08.093,Fe40Mn25Cr20Ni15Al14,,,B2 + BCC,M,AC,,,,C,600,326,,,,,,,,,
J4-8,10.1016/j.actamat.2013.06.018,CoCrFeMnNi,8,10.1016/j.actamat.2013.06.018,FCC,S,CR + A,4.4,,,T,25,370,670,56,,,,,,switched to engineering stress strain ,https://doi.org/10.1016/j.actamat.2013.06.018
J4-18,10.1016/j.actamat.2017.03.069,Co10Cr10Fe50Mn30,18,10.1016/j.actamat.2017.03.069,FCC + HCP,M,A,45,,,T,25,250,730,50,,,,,,switched to engineering stress strain ,
J4-18,10.1016/j.actamat.2017.03.069,Co10Cr10Fe50Mn30,18,10.1016/j.actamat.2017.03.069,FCC + HCP,M,CR + A,4.5,,,T,25,330,870,75,,,,,,switched to engineering stress strain ,
J4-18,10.1016/j.actamat.2017.03.069,Co10Cr10Fe50Mn30,18,10.1016/j.actamat.2017.03.069,FCC + HCP,M,CR + A,6,,,T,25,280,800,65,,,,,,switched to engineering stress strain ,
