IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year
27,Al0.25 Co1 Fe1 Ni1,FCC,CAST,,7.9,,138.0,C,25.0,158.0,,,,196.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Al0.5 Co1 Fe1 Ni1,FCC+BCC,CAST,,7.4,,212.0,C,25.0,346.0,,,,187.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Al0.75 Co1 Fe1 Ni1,FCC+BCC,CAST,,7.0,,385.0,C,25.0,794.0,,,,179.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Al1 Co1 Fe1 Ni1,BCC,CAST,,6.6,,456.0,C,25.0,964.0,,,,173.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Co1 Fe1 Ni1,FCC,CAST,,8.5,,125.0,C,25.0,204.0,,,,207.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Co1 Fe1 Ni1,FCC,CAST,,8.5,,125.0,C,25.0,209.0,,,,207.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Co1 Fe1 Ni1 Si0.25,FCC,CAST,,7.7,,149.0,C,25.0,196.0,,,,194.0,,,,10.1016/j.jmmm.2014.07.023,2014
27,Co1 Fe1 Ni1 Si0.5,FCC+Sec.,CAST,,7.1,,287.0,C,25.0,476.0,,,,,,,,10.1016/j.jmmm.2014.07.023,2014
27,Co1 Fe1 Ni1 Si0.75,FCC+Sec.,CAST,,6.6,,570.0,C,25.0,1301.0,,,,,,,,10.1016/j.jmmm.2014.07.023,2014
37,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,24.0,8.2,,,T,25.0,274.0,708.0,39.0,,225.0,,,,10.1016/j.actamat.2014.08.026,2014
37,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,36.0,8.1,,,T,25.0,282.0,694.0,44.0,,222.0,,,,10.1016/j.actamat.2014.08.026,2014
37,Co1 Cr1 Ni1,FCC,WROUGHT,41.0,8.3,,,T,25.0,300.0,860.0,60.0,,229.0,,,,10.1016/j.actamat.2014.08.026,2014
37,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,48.0,8.2,,,T,25.0,170.0,550.0,41.0,,205.0,,,,10.1016/j.actamat.2014.08.026,2014
37,Co1 Fe1 Ni1,FCC,WROUGHT,28.0,8.5,,,T,25.0,211.0,513.0,31.0,,207.0,,,,10.1016/j.actamat.2014.08.026,2014
37,Co1 Mn1 Ni1,FCC,WROUGHT,32.0,8.4,,,T,25.0,231.0,653.0,38.0,,202.0,,,,10.1016/j.actamat.2014.08.026,2014
37,Fe1 Mn1 Ni1,FCC,WROUGHT,30.0,8.1,,,T,25.0,221.0,602.0,36.0,,203.0,,,,10.1016/j.actamat.2014.08.026,2014
46,Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,318.0,622.0,19.0,,,,,,10.1016/j.intermet.2015.01.004,2015
46,Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,322.0,744.0,23.0,,,,,,10.1016/j.intermet.2015.01.004,2015
46,Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,403.0,807.0,9.0,,,,,,10.1016/j.intermet.2015.01.004,2015
46,Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,479.0,879.0,4.0,,,,,,10.1016/j.intermet.2015.01.004,2015
46,Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Laves (C14),CAST,175.0,8.2,,,T,25.0,638.0,1004.0,1.0,,,,,,10.1016/j.intermet.2015.01.004,2015
46,Co1 Cr1 Fe1 Ni1,FCC,CAST,175.0,8.2,,,T,25.0,148.0,413.0,48.0,,225.0,,,,10.1016/j.intermet.2015.01.004,2015
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.7,,110.0,,25.0,,,,,216.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.7,,113.0,,25.0,,,,,216.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.5,,131.0,,25.0,,,,,211.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.5,,196.0,,25.0,,,,,211.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.3,,159.0,,25.0,,,,,208.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.3,,209.0,,25.0,,,,,208.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.0,,388.0,,25.0,,,,,200.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.0,,280.0,,25.0,,,,,200.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,,6.9,,538.0,,25.0,,,,,197.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,6.9,,361.0,,25.0,,,,,197.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,,6.5,,487.0,,25.0,,,,,188.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,,6.5,,499.0,,25.0,,,,,188.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,,6.2,,484.0,,25.0,,,,,183.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,,6.2,,517.0,,25.0,,,,,183.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,,5.9,,509.0,,25.0,,,,,173.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,,5.9,,512.0,,25.0,,,,,173.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,,6.7,,484.0,,25.0,,,,,194.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,6.7,,433.0,,25.0,,,,,194.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,8.2,,116.0,,25.0,,,,,225.0,,,,10.1016/j.jallcom.2009.08.090,2009
54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,8.2,,113.0,,25.0,,,,,225.0,,,,10.1016/j.jallcom.2009.08.090,2009
63,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,,7.7,,425.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,
63,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,CAST,,6.6,,655.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,
63,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,,CAST,,6.3,,605.0,,25.0,,,,,185.0,,,,10.1007/s11837-013-0753-6,
63,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,,7.1,,715.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,
63,Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,,8.5,,210.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,
66,Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,,6.6,,,C,25.0,,1600.0,,10.0,107.0,,,,10.1016/j.msea.2008.12.053,2008
66,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,,CAST,,5.9,,,C,25.0,,2110.0,,10.0,133.0,,,,10.1016/j.msea.2008.12.053,2008
66,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,,CAST,,5.6,,643.0,C,25.0,,1030.0,,5.0,94.0,,,,10.1016/j.msea.2008.12.053,2008
66,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,0.15000000000000002,6.2,,,C,25.0,,2280.0,,6.0,148.0,,,,10.1016/j.msea.2008.12.053,2008
66,Co1 Cr1 Fe1 Ni1 Ti1,FCC,CAST,,7.2,,,C,25.0,,2020.0,,9.0,135.0,,,,10.1016/j.msea.2008.12.053,2008
1,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,,7.2,,717.0,,25.0,,,,,,,,,10.1016/j.actamat.2011.06.041,2011
1,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,,7.6,,487.0,,25.0,,,,,206.0,,,,10.1016/j.actamat.2011.06.041,2011
1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,,7.4,,654.0,,25.0,,,,,,,,,10.1016/j.actamat.2011.06.041,2011
1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,Other,ANNEAL,,7.8,,509.0,,25.0,,,,,211.0,,,,10.1016/j.actamat.2011.06.041,2011
2,Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,POWDER,,6.8,,624.0,C,25.0,2033.0,2635.0,8.0,,,,,,10.1016/j.matdes.2013.04.061,2013
3,Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,,,6.9,,,,25.0,,,,,197.0,,,,10.1016/C2013-0-14235-3,
4,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,,6.2,,402.0,,25.0,,,,,183.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,,5.6,,487.0,,25.0,,,,,165.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,,5.9,,432.0,,25.0,,,,,173.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,,5.3,,506.0,,25.0,,,,,158.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,,6.7,,395.0,,25.0,,,,,194.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,,6.8,,342.0,,25.0,,,,,178.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,,8.3,,286.0,,25.0,,,,,206.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,8.1,,296.0,,25.0,,,,,204.0,,,,10.1016/j.jallcom.2008.07.124,2008
4,Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,,8.7,,263.0,,25.0,,,,,230.0,,,,10.1016/j.jallcom.2008.07.124,2008
5,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,,6.7,,,C,25.0,1251.0,2004.0,,33.0,194.0,,,,10.1016/j.msea.2008.01.064,2008
6,Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,,6.7,,,C,25.0,957.0,2550.0,,11.0,213.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,,6.8,,,C,25.0,906.0,2386.0,,9.0,151.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,,6.8,,,C,25.0,867.0,2178.0,,8.0,137.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,,6.8,,,C,25.0,1056.0,2375.0,,7.0,156.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,,6.8,,,C,25.0,1060.0,2250.0,,6.0,181.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,CAST,,7.0,,,C,25.0,1255.0,2083.0,,6.0,73.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,,6.9,,,C,25.0,1251.0,2166.0,,7.0,75.0,,,,10.1016/j.jallcom.2010.10.047,2010
6,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,,6.7,,,C,25.0,1138.0,,,11.0,125.0,,,,10.1016/j.jallcom.2010.10.047,2010
7,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,,6.8,,,C,25.0,1804.0,2280.0,,9.0,196.0,,,,10.1016/j.msea.2010.07.028,2010
7,Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,CAST,,6.9,,,C,25.0,2456.0,2953.0,,3.0,,,,,10.1016/j.msea.2010.07.028,2010
7,Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,CAST,,7.0,,,C,25.0,2649.0,3208.0,,3.0,,,,,10.1016/j.msea.2010.07.028,2010
7,Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,,7.0,,,C,25.0,2670.0,3161.0,,3.0,,,,,10.1016/j.msea.2010.07.028,2010
7,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,,7.1,,,C,25.0,2757.0,3036.0,,3.0,,,,,10.1016/j.msea.2010.07.028,2010
7,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,,6.7,,,C,25.0,1051.0,,,,194.0,,,,10.1016/j.msea.2010.07.028,2010
8,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,,6.8,,569.0,C,25.0,1641.0,3285.0,,17.0,192.0,,,,10.1016/j.msea.2011.10.110,2011
