IDENTIFIER: Reference ID,REFERENCE: doi
1,10.1016/j.actamat.2011.06.041
10,10.1016/j.wear.2009.10.013
100,10.1016/j.actamat.2018.12.015
101,10.1016/j.msea.2019.04.104
102,10.1016/j.jmmm.2019.01.096
103,10.1038/s41598-019-43329-w
104,10.3390/e21050448
105,10.3390/ma12071136
106,10.3390/e21030288
107,10.1038/s41467-019-08460-2
108,10.1016/j.scriptamat.2018.12.021
109,10.1557/jmr.2019.40
11,10.1016/j.intermet.2012.09.008
110,10.1557/jmr.2019.18
111,10.1557/jmr.2019.36
112,10.1016/j.msea.2019.01.088
113,10.1016/j.msea.2019.01.083
114,10.1007/s00339-019-2484-1
115,10.1007/s10853-018-03196-8
116,10.1007/s00339-019-2506-z
117,10.1016/j.scriptamat.2018.11.042
118,10.3390/met9030351
119,10.1007/s11665-018-3837-1
12,10.1016/j.msea.2010.07.049
120,10.3390/e21020122
121,10.3390/e21020114
122,10.1016/j.msea.2018.12.020
123,10.1155/2019/2157592
124,10.1080/00325899.2019.1576389
125,10.1007/s11106-019-00012-z
126,10.1080/00325899.2018.1554834
127,10.1016/j.jallcom.2018.10.230
128,10.1007/s11665-018-3822-8
129,10.3390/e21010015
13,10.1016/j.jallcom.2008.11.059
130,10.3390/coatings9010016
131,10.5755/j01.ms.25.3.19452
132,10.1007/s11661-018-4646-8
133,10.1080/02670836.2018.1446267
134,10.1016/j.jmst.2018.09.068
135,10.1016/j.jallcom.2018.10.168
136,10.1007/s40843-018-9373-y
137,10.1016/j.matdes.2019.107698
138,10.1016/j.jmst.2018.10.009
139,10.1016/j.scriptamat.2018.08.048
14,10.1063/1.2734517
140,10.1016/j.scriptamat.2018.10.023
141,10.1016/j.jallcom.2018.11.057
142,10.1016/j.msea.2019.01.050
143,10.1016/j.ijplas.2018.10.005
144,10.1016/j.jallcom.2018.08.115
145,10.1016/j.matchemphys.2018.09.033
146,10.1016/j.jallcom.2018.11.318
147,10.1016/j.vacuum.2018.12.009
148,10.1002/adma.201807142
149,10.1016/j.jallcom.2018.08.093
15,10.1002/adem.200300567
150,10.1016/j.actamat.2018.12.010
151,10.1016/j.scriptamat.2018.09.008
152,10.1016/j.matchar.2018.07.015
153,10.1080/21663831.2018.1553803
154,10.1016/j.intermet.2019.04.003
155,10.1016/j.actamat.2019.03.010
156,10.1016/j.msea.2019.01.112
157,10.1016/j.actamat.2019.06.032
158,10.1016/j.intermet.2019.106486
159,10.1016/j.matchar.2018.06.036
16,10.1016/j.actamat.2013.09.037
160,10.1016/j.jallcom.2019.04.291
161,10.1016/j.intermet.2019.106477
162,10.1016/j.jmst.2018.12.002
163,10.1016/j.ijrmhm.2019.02.009
164,10.1016/j.actamat.2019.04.017
165,10.1016/j.jallcom.2019.02.083
166,10.1016/j.jallcom.2019.01.341
167,10.1016/j.msea.2019.04.025
168,10.1016/j.scriptamat.2019.02.038
169,10.1088/2053-1591/ab0597
17,10.1016/j.jallcom.2014.12.157
170,10.1016/j.actamat.2018.11.049
171,10.1016/j.matchar.2019.03.006
172,10.1016/j.jallcom.2018.12.040
173,10.1016/j.jallcom.2018.11.181
174,10.1007/s10853-018-03280-z
175,10.1007/s11665-019-04003-4
176,10.1016/j.jallcom.2018.11.111
177,10.3390/e21020169
178,10.1016/j.msea.2018.12.077
179,10.1016/j.actamat.2018.12.012
18,10.1016/j.msea.2010.05.052
180,10.1016/j.jallcom.2019.07.195
181,10.1016/j.jallcom.2019.07.100
182,10.1016/j.jallcom.2019.06.301
183,10.1016/j.jallcom.2019.06.138
184,10.1007/s12598-019-01310-6
185,10.1016/j.intermet.2019.106550
186,10.1007/s40195-019-00935-x
187,10.1016/j.matchar.2019.109792
188,10.1016/j.jallcom.2019.05.322
189,10.1016/j.msea.2018.10.094
19,10.1016/j.jallcom.2013.03.253
190,10.1016/j.msea.2019.138181
