Alloy composition,FORMULA,IDENTIFIER: Reference ID,REFERENCE: doi,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),REFERENCE: year
Ag1 Al1 Nb1 Ti1 Zn1,,,,,,,,,,,,,,,,,,,,
,Ag1 Al1 Nb1 Ti1 Zn1,122,10.1016/j.msea.2018.12.020,ANNEAL,,,,,,,4.75,,,,,,,,,2018
,Ag1 Al1 Nb1 Ti1 Zn1,122,10.1016/j.msea.2018.12.020,ANNEAL,,,,,,,5.78,,,,,,,,,2018
,Ag1 Al1 Nb1 Ti1 Zn1,122,10.1016/j.msea.2018.12.020,ANNEAL,,,,,,,5.79,,,,,,,,,2018
,Ag1 Al1 Nb1 Ti1 Zn1,122,10.1016/j.msea.2018.12.020,ANNEAL,,,,,,,5.51,,,,,,,,,2018
,Ag1 Al1 Nb1 Ti1 Zn1,122,10.1016/j.msea.2018.12.020,ANNEAL,,,,,,,,,,,,,,,,2018
Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,,,,,,,,,,,,,,,,,,,,
,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,,,,,C,25.0,354.0,,,,,2018
,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,,,,,C,400.0,260.0,,,,,2018
,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,149,10.1016/j.jallcom.2018.08.093,CAST,,,,,,,,,C,600.0,155.0,,,,,2018
Al0.053 Cu1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.053 Cu1 Mn1 Ni1,62,10.1016/j.jallcom.2015.07.285,CAST,FCC,,,,,8.3,,166.0,C,25.0,330.0,,45.0,,174.0,2015
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,16,10.1016/j.actamat.2013.09.037,CAST,FCC,,,,,7.9,,180.0,,25.0,,,,,216.0,2013
,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,135,10.1016/j.jallcom.2018.10.168,CAST,,,,,,,,432.0,C,25.0,1631.0,,,12.6,,2018
Al0.1 Co1 Cr1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.1 Co1 Cr1 Fe1 Ni1,179,10.1016/j.actamat.2018.12.012,WROUGHT,FCC,,,,20.0,,,,T,25.0,1198.0,,1.5,,,2018
,Al0.1 Co1 Cr1 Fe1 Ni1,179,10.1016/j.actamat.2018.12.012,WROUGHT,FCC,,,,20.0,,,,T,25.0,1403.0,,1.2,,,2018
,Al0.1 Co1 Cr1 Fe1 Ni1,179,10.1016/j.actamat.2018.12.012,WROUGHT,FCC,,,,20.0,,,,T,25.0,711.0,928.0,30.3,,,2018
,Al0.1 Co1 Cr1 Fe1 Ni1,179,10.1016/j.actamat.2018.12.012,WROUGHT,FCC,,,,7.0,,,,T,25.0,356.0,,42.4,,,2018
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,33,10.1063/1.3587228,,FCC,,,,,8.0,,,,25.0,,,,,199.0,2011
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,719.0,1048.0,30.0,,,2018
,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,,,,,T,25.0,460.0,732.0,32.0,,,2018
,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,FCC,,,,,,,,T,25.0,719.0,1048.0,30.0,,,2018
,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,159,10.1016/j.matchar.2018.06.036,WROUGHT,,,,,,,,,T,25.0,460.0,732.0,32.0,,,2018
Al0.111 Cu1 Mn1 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.111 Cu1 Mn1 Ni1,62,10.1016/j.jallcom.2015.07.285,CAST,FCC+Sec.,,,,,8.1,,241.0,C,25.0,515.0,,40.0,,,2015
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,,,,,,,,,,,,,,,,,,,,
,Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,61,10.1016/j.msea.2006.11.049,CAST,FCC+BCC,,,,,6.7,,,C,25.0,1862.0,2431.0,1.0,,164.0,2006
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,,,,,,,,,,,,,,,,,,,,
,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,1,10.1016/j.actamat.2011.06.041,ANNEAL,FCC,,,,,7.6,,487.0,,25.0,,,,,206.0,2011
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,,,,,,,,,,,,,,,,,,,,
,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,1,10.1016/j.actamat.2011.06.041,ANNEAL,FCC+Sec.,,,,,7.2,,717.0,,25.0,,,,,,2011
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,,,,,,,,,,,,,,,,,,,,
,Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,208,10.1016/j.msea.2019.05.056,CAST,FCC,,,,,,,,T,25.0,280.0,556.0,48.0,48.2,,2019
,Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,208,10.1016/j.msea.2019.05.056,CAST,FCC,,,,,,,,T,25.0,1253.0,1392.0,6.78,8.2,,2019
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,,,,,,,,,,,,,,,,,,,,
,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,187,10.1016/j.matchar.2019.109792,WROUGHT,FCC,,,,,,,107.0,T,62.0,169.0,,98.0,,16.6,2019
